Pergunta;Critério Norteador;Síntese interpretativa
Com as classes atuais do mapeamento topográfico é possível representar o território nacional de maneira fidedigna? É recomendada alguma alteração por escala?;Se as classes de dados atuais forem suficientes em todas as escalas, então não serão feitas recomendações.;Recomenda-se alteração de nomenclatura e alinhamento com classes de dados do MVB para escalas grandes.
A imagem e os vetores com legenda de uma mesma região ilustram uma área limítrofe entre classes de cerrado e caatinga, esta classificação é recomendada? Se for recomendada a subclassificação, em quais escalas? Há possibilidade de integração de dados de outros mapas?;Se houver recomendação de subclassificação nas escalas maiores e integração, então é possível identificar as principais variáveis para promover a interoperabilidade das classes analisadas.;Altamente recomendada a integração de dados. Características de detalhamento nos atributos dos dados. Alteração de nomenclatura segundo MVB.
Com relação às classes de área úmida e brejo ou pântano, quais características podem diferenciá-las espacialmente e em quais escalas recomenda-se mapeá-las?  ;Se os conceitos tiverem características que os diferencie em abrangência dos fenômenos, então deverão ser representados na escala recomendada com as respectivas variáveis. ;"Recomendação: Área Úmida em todas as escalas; Brejo e pântano em escalas grandes, pela área de ocorrência das classes."
Qual sua opinião sobre o manual T34-700 e quais adaptações nos símbolos podem ser feitas considerando a funcionalidade e usabilidade de mapas atuais?;Se existem critérios modernos de avaliação e elaboração dos símbolos que devem ser considerados além de informação consolidada, então deverão ser confirmadas em destaque as adaptações sugeridas. ;Recomendações: Alteração dos padrões de hachura e utilização de cores sólidas.   
Após apresentação de um mapeamento oficial representado em tela, indagou-se sobre qual a dificuldade de interpretação das classes e símbolos?;Se os símbolos e classes apresentados informassem os especialistas de forma clara e objetiva, não seria necessário o uso de legenda.;Dificuldades de leitura e interpretação das classes por especialistas. Padrões e cores sobrecarregam cognitivamente a leitura. 
Qual a importância em se representar diferentemente todos os atributos das classes de Cerrado, Caatinga e Campo na escala 1:25.000? (Com apresentação de símbolos das subclasses em formato de legenda).;Se a representação de subclasses for sugerida, então há indícios para adaptação de classes atuais.     ;Sugestão de detalhamento dos dados nos atributos. Se subclassificar esta classe, torna-se necessário a subclassificação de outras classes.  
Qual a sua opinião sobre a representação da classe de área úmida, considerando o exemplo abaixo sem legenda, e suas características de ocorrência. Esta poderia ser considerada um atributo de outras classes?;Se as classes e representação forem claras e objetivas, considerando a importância de se representá-las, então serão lidas corretamente sem adaptações por escala.;Não considera-se um atributo, é importante a representação de área úmida em todas as escalas. Recomenda-se alteração de hachuras e sobreposições.
Existe alguma classe de dados para a escala 1:25.000 que não é contemplada pela EDGV 3.0 que pode ser integrada a este mapeamento?;Se as classes de dados forem insuficientes para esta escala então será sugerida novas classes de dados.;Recomendada a subclassificação de floresta e de classes de cultivo e pecuária.  
A classe campinarana é suficientemente diferenciada de outras formações vegetais na escala 1:25000? Existem outras formações suficientemente diferenciadas como a campinarana que não são previstas na EDGV 3.0?;Se a classe campinarana for uma formação vegetal única, então será analisada por escala de representação e abrangência do fenômeno. Caso existam formações equivalentes, espera-se que sejam destacadas pelos especialistas. ;Recomendação para representação desta classe a partir das escalas grandes, pela área e abrangência da mesma, que é diferenciada de outras formações vegetais. 
Qual a sua opinião sobre a importância em se representar a classe de solo exposto no mapeamento topográfico?;Se a classe de solo exposto foi significante por abrangência em todas as escalas, então sua representação deverá ser sugerida nas escalas padrão. ;Importante representação, recomendação para representar esta classe a partir das grandes escalas.  
